,Name,In_Rating,In_Count,Out_Rating,Out_Count,Rating_Diff,inFinale
0,Man on Sidewalk,7.8,3.0,8.6,170.0,-0.7999999999999998,0.0
1,Jerry Seinfeld_writer,8.5,172.0,9.1,1.0,-0.5999999999999996,1.0
2,Man in Coffee Shop,8.0,3.0,8.6,170.0,-0.5999999999999996,1.0
3,Jason Alexander_director,8.1,3.0,8.6,170.0,-0.5,0.0
4,Robin,8.1,3.0,8.55,170.0,-0.45000000000000107,1.0
5,Joel,8.1,3.0,8.55,170.0,-0.45000000000000107,0.0
6,Attendant,8.2,3.0,8.55,170.0,-0.3500000000000014,0.0
7,Wyck,8.3,3.0,8.6,170.0,-0.29999999999999893,0.0
8,Ellen,8.3,3.0,8.6,170.0,-0.29999999999999893,0.0
9,Mr. Pitt,8.3,7.0,8.6,166.0,-0.29999999999999893,1.0
10,Pharmacist,8.3,3.0,8.55,170.0,-0.25,1.0
11,Dr. Reston,8.3,3.0,8.55,170.0,-0.25,0.0
12,Stan,8.3,3.0,8.55,170.0,-0.25,0.0
13,Morgan,8.3,3.0,8.55,170.0,-0.25,0.0
14,Babu Bhatt,8.3,3.0,8.55,170.0,-0.25,1.0
15,Jackie Chiles,8.3,5.0,8.55,168.0,-0.25,1.0
16,Leslie,8.3,3.0,8.55,170.0,-0.25,0.0
17,Father,8.3,3.0,8.55,170.0,-0.25,0.0
18,Lisa,8.3,3.0,8.55,170.0,-0.25,0.0
19,Mom,8.3,3.0,8.55,170.0,-0.25,0.0
20,Stewardess,8.350000000000001,4.0,8.6,169.0,-0.24999999999999822,0.0
21,Morty Seinfeld,8.4,20.0,8.6,153.0,-0.1999999999999993,1.0
22,Uncle Leo,8.4,15.0,8.6,158.0,-0.1999999999999993,1.0
23,The Nurse,8.4,7.0,8.6,166.0,-0.1999999999999993,0.0
24,Nana,8.4,3.0,8.6,170.0,-0.1999999999999993,0.0
25,Receptionist,8.4,14.0,8.6,159.0,-0.1999999999999993,1.0
26,Cynthia,8.4,3.0,8.6,170.0,-0.1999999999999993,0.0
27,Jack Klompus,8.4,6.0,8.6,167.0,-0.1999999999999993,0.0
28,Helen Seinfeld,8.4,20.0,8.6,153.0,-0.1999999999999993,1.0
29,Gail,8.4,4.0,8.6,169.0,-0.1999999999999993,0.0
30,Jake Jarmel,8.4,3.0,8.55,170.0,-0.15000000000000036,0.0
31,Roy,8.4,3.0,8.55,170.0,-0.15000000000000036,0.0
32,Tina,8.4,3.0,8.55,170.0,-0.15000000000000036,0.0
33,Rabbi Glickman,8.4,3.0,8.55,170.0,-0.15000000000000036,1.0
34,Rita,8.4,3.0,8.55,170.0,-0.15000000000000036,0.0
35,Customer,8.45,6.0,8.6,167.0,-0.15000000000000036,0.0
36,Usher,8.45,6.0,8.6,167.0,-0.15000000000000036,0.0
37,Tom Cherones_director,8.5,79.0,8.6,94.0,-0.09999999999999964,0.0
38,Man,8.5,18.0,8.6,155.0,-0.09999999999999964,1.0
39,Sid,8.5,4.0,8.6,169.0,-0.09999999999999964,0.0
40,Waiter,8.5,9.0,8.55,164.0,-0.05000000000000071,0.0
41,Melissa,8.5,3.0,8.55,170.0,-0.05000000000000071,0.0
42,David,8.5,3.0,8.55,170.0,-0.05000000000000071,0.0
43,Karen,8.45,4.0,8.5,169.0,-0.05000000000000071,0.0
44,Policeman,8.5,3.0,8.55,170.0,-0.05000000000000071,0.0
45,Man #1,8.5,5.0,8.55,168.0,-0.05000000000000071,0.0
46,Mickey Abbott,8.5,7.0,8.55,166.0,-0.05000000000000071,1.0
